"Дата";"Регион";"Смертей за день"
27.02.2022;Красноярский край;25
27.11.2020;Санкт-Петербург;63
02.12.2020;Санкт-Петербург;82
18.01.2021;Москва;73
28.10.2020;Москва;75
01.06.2021;Москва;62
26.11.2020;Санкт-Петербург;79
22.02.2022;Свердловская обл.;8
04.01.2021;Санкт-Петербург;79
04.02.2022;Красноярский край;12
07.02.2022;Алтайский край;19
05.01.2021;Санкт-Петербург;73
12.02.2022;ХМАО – Югра;10
04.03.2022;Самарская обл.;18
17.02.2022;Татарстан;6
04.02.2022;ХМАО – Югра;5
13.02.2022;ХМАО – Югра;8
11.02.2022;Самарская обл.;16
18.02.2022;Татарстан;4
31.10.2021;Санкт-Петербург;82
11.02.2022;Архангельская обл.;2
01.03.2022;Новосибирская обл.;16
04.01.2021;Москва;74
06.10.2021;Москва;71
09.02.2022;Самарская обл.;14
30.10.2021;Санкт-Петербург;76
05.03.2022;Самарская обл.;17
17.05.2021;Москва;57
19.02.2022;Нижегородская обл.;47
09.02.2022;Ростовская обл.;12
19.04.2020;Москва;28
03.03.2022;Санкт-Петербург;65
01.05.2020;Москва;47
14.02.2022;Краснодарский край;12
20.02.2022;Нижегородская обл.;19
21.02.2022;Свердловская обл.;7
19.05.2020;Москва;71
05.10.2020;Москва;27
17.02.2022;Самарская обл.;11
12.02.2022;Самарская обл.;16
22.02.2022;Алтайский край;23
14.02.2022;Архангельская обл.;1
31.07.2021;Москва;73
08.02.2022;ХМАО – Югра;2
24.02.2022;Ростовская обл.;6
16.05.2020;Москва;74
13.02.2022;Башкортостан;17
10.02.2022;Краснодарский край;10
16.02.2022;Московская обл.;30
27.02.2022;Башкортостан;20
04.02.2022;Саха (Якутия);4
01.03.2022;Пермский край;18
23.02.2022;Алтайский край;23
06.02.2022;Ростовская обл.;5
05.03.2022;Санкт-Петербург;61
30.07.2021;Москва;76
25.02.2022;Ростовская обл.;6
13.02.2022;Татарстан;7
10.12.2021;Москва;89
04.02.2022;Свердловская обл.;10
13.02.2022;Иркутская обл.;9
09.02.2022;ХМАО – Югра;3
19.02.2022;Татарстан;5
06.02.2022;Алтайский край;21
04.02.2022;Нижегородская обл.;26
21.01.2021;Москва;69
29.10.2021;Санкт-Петербург;76
23.09.2021;Москва;54
06.02.2022;Архангельская обл.;2
03.02.2022;Свердловская обл.;11
28.02.2022;Башкортостан;19
25.02.2022;Воронежская обл.;12
24.02.2022;Воронежская обл.;18
21.11.2021;Москва;97
15.02.2022;Иркутская обл.;11
20.02.2022;Краснодарский край;11
23.02.2022;Воронежская обл.;14
29.11.2021;Москва;93
03.02.2022;Челябинская обл.;12
27.11.2021;Москва;96
08.11.2021;Московская обл.;59
23.07.2021;Москва;107
14.02.2022;ХМАО – Югра;7
04.03.2022;Санкт-Петербург;69
12.11.2021;Санкт-Петербург;75
01.03.2022;Санкт-Петербург;77
25.11.2020;Санкт-Петербург;85
23.02.2022;Челябинская обл.;22
25.07.2021;Москва;103
02.02.2022;Челябинская обл.;12
24.02.2022;Краснодарский край;16
01.03.2022;Башкортостан;21
17.01.2022;Московская обл.;44
27.09.2021;Москва;61
03.02.2022;Саха (Якутия);4
11.02.2022;Иркутская обл.;17
10.02.2022;Самарская обл.;15
24.07.2021;Москва;105
19.11.2021;Москва;95
12.02.2022;Краснодарский край;11
10.02.2022;Воронежская обл.;9
05.11.2021;Санкт-Петербург;89
26.02.2022;Ростовская обл.;19
17.02.2022;Архангельская обл.;0
23.10.2021;Санкт-Петербург;67
29.07.2021;Москва;79
04.12.2021;Москва;93
02.03.2022;Башкортостан;20
25.11.2021;Москва;92
24.02.2022;Алтайский край;22
20.01.2021;Санкт-Петербург;72
23.02.2022;Нижегородская обл.;19
06.01.2021;Санкт-Петербург;58
07.02.2022;Архангельская обл.;0
25.02.2022;Москва;84
02.08.2021;Москва;75
04.10.2020;Москва;29
17.10.2021;Санкт-Петербург;65
08.10.2020;Москва;55
16.12.2021;Москва;85
03.02.2022;Красноярский край;19
23.02.2022;Краснодарский край;15
17.01.2021;Санкт-Петербург;59
02.02.2022;Саха (Якутия);4
15.01.2022;Санкт-Петербург;62
03.03.2022;Башкортостан;20
20.02.2022;Саратовская обл.;11
20.05.2021;Москва;55
08.02.2022;Ростовская обл.;16
15.02.2022;Оренбургская обл.;8
03.12.2021;Москва;95
01.02.2022;Пермский край;6
18.02.2022;Архангельская обл.;2
05.12.2021;Москва;92
07.11.2021;Московская обл.;56
04.03.2022;Башкортостан;12
24.10.2021;Санкт-Петербург;69
14.02.2022;Оренбургская обл.;6
13.02.2022;Оренбургская обл.;5
09.02.2022;Воронежская обл.;9
18.01.2021;Санкт-Петербург;55
03.02.2022;ХМАО – Югра;4
19.01.2021;Санкт-Петербург;69
21.10.2021;Санкт-Петербург;68
01.02.2022;Челябинская обл.;11
26.09.2021;Москва;59
28.05.2021;Москва;56
20.10.2021;Санкт-Петербург;62
09.01.2022;Москва;71
13.11.2021;Санкт-Петербург;70
11.02.2022;ХМАО – Югра;7
20.02.2022;Татарстан;0
04.11.2021;Санкт-Петербург;75
03.11.2021;Санкт-Петербург;86
07.06.2021;Москва;59
10.02.2022;Архангельская обл.;0
10.02.2022;ХМАО – Югра;5
12.02.2022;Башкортостан;19
21.07.2021;Москва;104
16.02.2022;Оренбургская обл.;5
16.01.2021;Санкт-Петербург;67
01.11.2021;Санкт-Петербург;85
25.02.2022;Алтайский край;21
12.02.2022;Оренбургская обл.;6
05.03.2022;Башкортостан;20
29.05.2021;Москва;61
20.11.2021;Москва;93
18.05.2020;Москва;77
22.10.2021;Санкт-Петербург;67
14.02.2022;Самарская обл.;14
17.02.2022;Оренбургская обл.;7
11.11.2021;Санкт-Петербург;85
